ID,Tittle,Category ID,Store Id,RedirectUrl,Description,,type of coupon,MetaTittle,MetaKeyword,MetaDescription,Code,Image,ExpiryDate,Position,Status,UserID,Date,UpdateDate,ShowOnHome,TittlePostFix,Prefix,Postfix,Tag,Details,Desp
76,101,2,18,barrocoitalia.com,Cotton socks from €101,,,,,,,,45881
77,Free delivery,2,18,barrocoitalia.com,Free delivery from 200€ of purchases,,,,,,,,
78,281,2,18,barrocoitalia.com,Leather bag from €281,,,,,,,," July 15, 2025"
79,"2,65€",2,18,barrocoitalia.com,Shoes from €2.65,,,,,,,,45852
80,0.28000000000000003,2,19,camode.fr,Up to 28% off women's midi dresses,,,,,,,,45944
81,0.55000000000000004,2,19,camode.fr,Save up to 55% at Manteaux.,,,,,,,,
82,0.75,2,19,camode.fr,75% off women's coats and jackets,,,,,,,,
83,0.3,2,19,camode.fr,3% off women's clothing and accessories,,,,,,,,
84,0.25,2,19,camode.fr,Save 25% on women's jumpsuit,,,,,,,,
85,0.2,2,21,elevenparis.com,20% code promo,20% off sitewide discount code.,,,,,LAST20,,46015
86,0.4,2,21,elevenparis.com,Up to 40% off women's bags,,,,,,,," December 18, 2025"
87,0.3,2,21,elevenparis.com,Save up to 30% on women's caps,,,,,,,," August 12, 2025"
88,99,2,21,elevenparis.com,Women's sweatshirt from €99,,,,,,,,45979
89,45,2,21,elevenparis.com,T-shirt from 45€,,,,,,,,45860
90,0.47,2,22,www.facesocksusa.com,Up to 47% off photo puzzles,,,,,,,,45863
91,0.2,2,22,www.facesocksusa.com,20% off when you subscribe to the newsletter,,,,,,,,45855
92,Free delivery,2,22,www.facesocksusa.com,Free delivery from 69€ of purchases,,,,,,,," July 09, 2025"
93,0.45,2,22,www.facesocksusa.com,Save 45% on a personalized photo book,,,,,,,,45862
94,0.5,2,22,www.facesocksusa.com,Get Up To 50% Off A Mug,,,,,,,,45846
95,0.55000000000000004,2,23,www.gebnegozionline.com,55% discount,55% off caramel leather belt bag,,,,,,," July 16, 2025"
96,0.5,2,23,www.gebnegozionline.com,50% off women's leggings,,,,,,,,
97,Free delivery,2,23,www.gebnegozionline.com,Get free delivery on every order,,,,,,,,
98,0.3,2,23,www.gebnegozionline.com,30% off keychains,,,,,,,,45980
99,0.25,2,23,www.gebnegozionline.com,25% off women's sunglasses,,,,,,,,45847
100,0.3,2,24,hbx.com,30% off,Up to 30% off men's clothing and accessories,,,,,,,45853
101,0.1,2,24,hbx.com,10% off when you subscribe to the newsletter,,,,,,,,45860
102,0.4,2,24,hbx.com,40% off men's shoes,,,,,,,,
103,0.5,2,24,hbx.com,Up to 50%,50% off selected women's bags,,,,,,,45972
104,0.6,2,24,hbx.com,Save up to 60% on women's sneakers,,,,,,,,45853
105,0.1,2,25,www.icebreaker.com,10% Code Promo Icebreaker,10% off sitewide,,,,,ICEBREAKER-10,,45447
106,0.5,2,25,www.icebreaker.com,50% Off Men's Wave Stripe Merino Short Sleeve T-Shirt,,,,,,,,45660
107,0.25,2,25,www.icebreaker.com,25% Off Men's Merino Long Sleeve Top,,,,,,,,45660
